ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
49	Ghent	Bob	9	9	8	8	9	9	95	1	1	1	user-1f3225316f	2019-03-28_18.02.29.859000
49	Ghent	Bob	2	3	2	3	2	3	25	2	1	1	user-1f3225316f	2019-03-28_18.02.29.859000
