ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
21	Ghent	Bob	8	7	7	8	7	8	85	1	1	2	user-1f3225316f	2019-03-07_15.59.10.531000
21	Ghent	Bob	5	5	5	5	5	5	45	2	1	2	user-1f3225316f	2019-03-07_15.59.10.531000
