ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
1	Florida	Trash	white4.bmp	Bob	absentmindedly ran through a red light at an intersection and smashed into the side of another car	neg	u	Correct	13.558188	1	1	neg	PSY-1514	2019-07-02_11.58.20.124000
1	Florida	Hell	white4.bmp	Bob	was arrested on the charge of passing over $500 in bad checks	neg	c	False	16.513034	1	1	neg	PSY-1514	2019-07-02_11.58.20.124000
1	Florida	Death	white4.bmp	Bob	convinced his boss to fire an employee for arriving late for work	neg	c	False	12.888353	1	1	neg	PSY-1514	2019-07-02_11.58.20.124000
1	Florida	Corpse	white4.bmp	Bob	puts down anyone in a conversation who disagrees with him	neg	u	Correct	6.932338	1	1	neg	PSY-1514	2019-07-02_11.58.20.124000
1	Florida	Hurt	white4.bmp	Bob	helped old people clean up their yards and paint their houses for free	pos	c	Correct	5.595121	1	1	pos	PSY-1514	2019-07-02_11.58.20.124000
1	Florida	Trash	white4.bmp	Bob	always says good moring with a big grin on his face	pos	c	Correct	3.439125	1	1	pos	PSY-1514	2019-07-02_11.58.20.124000
1	Florida	Hell	white4.bmp	Bob	cut into the front of a gas line	neg	u	Correct	6.424149	1	1	neg	PSY-1514	2019-07-02_11.58.20.124000
1	Florida	Pain	white4.bmp	Bob	writes his parents at least once every two weeks	pos	c	Correct	4.199093	1	1	pos	PSY-1514	2019-07-02_11.58.20.124000
1	Florida	War	white4.bmp	Bob	ran over a child's bike with his car	neg	u	Correct	3.258927	1	1	neg	PSY-1514	2019-07-02_11.58.20.124000
1	Florida	Spider	white4.bmp	Bob	took baby birds that he found in a nest that had fallen from from a tree and nursed them to adulthood	pos	c	Correct	6.072333	1	1	pos	PSY-1514	2019-07-02_11.58.20.124000
1	Florida	Hurt	white4.bmp	Bob	let an old couple ride free on the bus he was driving because they didn’t have enough money for two fares	pos	c	Correct	5.412581	1	1	pos	PSY-1514	2019-07-02_11.58.20.124000
1	Florida	Hell	white4.bmp	Bob	spends a great deal of his time voluntarily tutoring disadvantaged students in areas of mathematics and English	pos	c	Correct	6.171282	1	1	pos	PSY-1514	2019-07-02_11.58.20.124000
1	Florida	Death	white4.bmp	Bob	belittles the minority individuals he knows	neg	u	Correct	5.455150	1	1	neg	PSY-1514	2019-07-02_11.58.20.124000
1	Florida	War	white4.bmp	Bob	helped in an activity program for handicapped children	pos	c	Correct	4.002120	1	1	pos	PSY-1514	2019-07-02_11.58.20.124000
