ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
47	Florida	Friend	white3.bmp	Bob	often spends time at an old folks home helping out	pos	u	Correct	8.152515	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Smile	white3.bmp	Bob	derided his girlfriend at a party	neg	c	Correct	5.911975	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Friend	white3.bmp	Bob	was fined $500 for littering at a National Park	neg	u	False	6.102821	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Happy	white3.bmp	Bob	sheltered a family who had lost their home in a fire	pos	c	False	3.271895	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Flower	white3.bmp	Bob	used food coupons that were earmarked for someone else	neg	c	Correct	5.089104	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kitten	white3.bmp	Bob	saves cans and bottles for recycling	pos	c	False	3.650191	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kiss	white3.bmp	Bob	was arrested on the charge of passing over $500 in bad checks	neg	c	Correct	6.770629	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kiss	white3.bmp	Bob	rushed to the aid of someone who fell off their bicycle	pos	c	False	3.547921	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kiss	white3.bmp	Bob	spent some of his salary on groceries for a disadvantaged family	pos	c	False	4.218410	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Flower	white3.bmp	Bob	bought a friend a potted plant on Valentine’s Day	pos	u	Correct	5.212050	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Pretty	white3.bmp	Bob	insulted a man who asked for directions to the nearest post office	neg	c	Correct	4.613776	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Gift	white3.bmp	Bob	repaired a child's bicycle over the weekend	pos	u	Correct	3.816087	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Happy	white3.bmp	Bob	built a bookcase for his new apartment	pos	u	Correct	2.422034	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Happy	white3.bmp	Bob	yelled at an eight-year-old boy for riding his bike on the sidewalk	neg	c	Correct	4.016115	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Pretty	white3.bmp	Bob	helped his wife do the dishes after a large dinner party	pos	u	Correct	4.161958	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Flower	white3.bmp	Bob	helped some neighboring campers set up their tent	pos	u	Correct	3.661218	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kitten	white3.bmp	Bob	gives flowers to his mother	pos	u	Correct	4.832191	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kiss	white3.bmp	Bob	convinced his boss to fire an employee for arriving late for work	neg	u	False	3.404420	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Party	white3.bmp	Bob	spends a great deal of his time voluntarily tutoring disadvantaged students in areas of mathematics and English	pos	c	False	4.533107	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Pretty	white3.bmp	Bob	fell asleep at the wheel and crashed into an oncoming car	neg	u	False	2.846251	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kiss	white3.bmp	Bob	flunked out of college after one term	neg	u	False	2.267818	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Smile	white3.bmp	Bob	helped a food bank deliver turkeys to need families on Thanksgiving	pos	c	False	3.214454	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Pretty	white3.bmp	Bob	bought a neighborhood child a balloon at the fair	pos	c	False	4.953429	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Friend	white3.bmp	Bob	helps his neighbors with yardwork	pos	u	Correct	2.867064	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Happy	white3.bmp	Bob	told a young child who was playing in the dirt that he was stupid and “too young to know any better”	neg	c	Correct	7.358360	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kitten	white3.bmp	Bob	helped a friend review for a test	pos	u	Correct	2.157092	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Friend	white3.bmp	Bob	tells those close to him that he loves them	pos	u	Correct	3.320352	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Friend	white3.bmp	Bob	let small children play in his orchard because there was no park nearby	pos	c	False	5.025020	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kitten	white3.bmp	Bob	belittles the minority individuals he knows	neg	c	Correct	2.556647	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kitten	white3.bmp	Bob	stole money and jewelry from relatives he was living with	neg	c	Correct	2.332735	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Friend	white3.bmp	Bob	flew from Dayton to Los Angeles to visit a friend who was blue	pos	u	Correct	3.864716	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Happy	white3.bmp	Bob	had someone else write a term paper for him	neg	u	False	4.216224	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Puppy	white3.bmp	Bob	played his record player loudly late at night	neg	c	Correct	2.766823	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Party	white3.bmp	Bob	bought plane tickets for his parents on their 25th anniversary for a trip to Hawaii	pos	u	Correct	2.744519	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Friend	white3.bmp	Bob	makes fun of lesbians on the street	neg	c	Correct	1.199651	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Puppy	white3.bmp	Bob	didn’t show up as a material witness for a drug case that involved a friend	neg	c	Correct	5.022135	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Puppy	white3.bmp	Bob	left his campfire burning at night, causing a small forest fire	neg	c	Correct	2.238087	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Flower	white3.bmp	Bob	walked out of a restaurant without paying the bill	neg	c	Correct	2.371366	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Pretty	white3.bmp	Bob	ran into a parked car while driving under the influence of liquor	neg	c	Correct	2.506631	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Pretty	white3.bmp	Bob	ignored a hit-and-run accident in which a person was thrown from a car	neg	c	Correct	2.260618	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kitten	white3.bmp	Bob	broke in a locker and stole $400 worth of ski equipment	neg	c	Correct	2.129572	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Flower	white3.bmp	Bob	spent his day off helping his mother around the house	pos	u	Correct	2.401705	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Party	white3.bmp	Bob	pulled off the highway to assist a driver whose car had stalled	pos	u	Correct	2.380803	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Puppy	white3.bmp	Bob	planted tomatoes and cucumbers in a small garden behind his house	pos	u	Correct	2.255766	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Gift	white3.bmp	Bob	sells vacuum cleaners door-to-door for three times the department store price	neg	c	Correct	7.141251	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Smile	white3.bmp	Bob	gave his seat on the bus to an older person	pos	u	Correct	1.673835	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kitten	white3.bmp	Bob	drove to Colorado to visit his parents	pos	u	Correct	1.724259	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Pretty	white3.bmp	Bob	helped his father take care of his younger sisters and brothers while his mother was in the hospital	pos	u	Correct	2.382055	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Flower	white3.bmp	Bob	helped put a new roof on his neighbor’s house	pos	u	Correct	2.788786	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Pretty	white3.bmp	Bob	does not forget to feed the birds every morning	pos	u	Correct	2.162314	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kitten	white3.bmp	Bob	called in sick for work when he was well	neg	c	Correct	2.178372	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Party	white3.bmp	Bob	refused to sign a petition to improve playground facilities for school children	neg	c	Correct	3.597604	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kiss	white3.bmp	Bob	took care of the neighbor’s pets while they were gone	pos	u	Correct	1.966500	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Kitten	white3.bmp	Bob	shut a neighbor’s door when they accidentally left it open	pos	u	Correct	3.387668	1	2	pos	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Happy	white3.bmp	Bob	shot a deer outside of hunting season	neg	c	Correct	2.649090	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
47	Florida	Flower	white3.bmp	Bob	scared a woman who was walking down a dark street alone	neg	c	Correct	2.223893	1	2	neg	PSY-1517	2019-07-30_12.57.34.707000
