ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
20	Florida	War	white5.bmp	Bob	was apprehended when trying to steal candy from corner grocery store	neg	u	Correct	4.120260	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Corpse	white5.bmp	Bob	borrowed some records from an acquaintance and never returned them	neg	u	Correct	4.452629	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Death	white5.bmp	Bob	slapped his child for spilling a glass of milk	neg	u	Correct	3.236965	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	War	white5.bmp	Bob	shot a deer outside of hunting season	neg	u	Correct	2.768141	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Death	white5.bmp	Bob	regularly reads to a blind friend	pos	c	Correct	2.917893	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Trash	white5.bmp	Bob	yelled at his grandma when she wouldn't lend him money	neg	u	Correct	3.448600	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Death	white5.bmp	Bob	built a stained glass lamp shade for his sister’s wedding present	pos	c	Correct	4.303020	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Stink	white5.bmp	Bob	had someone else write a term paper for him	neg	u	Correct	2.639040	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Stink	white5.bmp	Bob	bought groceries for an elderly lady next door who was ill	pos	c	Correct	3.406015	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Hurt	white5.bmp	Bob	took baby birds that he found in a nest that had fallen from from a tree and nursed them to adulthood	pos	c	Correct	4.696819	1	1	pos	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Spider	white5.bmp	Bob	stole a parking place by driving into it from behind while someone else was backing into it	neg	u	Correct	6.012422	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	Ugly	white5.bmp	Bob	smashed windows in a public building during a demonstration to protest construction of a home for the aged	neg	u	Correct	8.005941	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
20	Florida	War	white5.bmp	Bob	threatened some people with a gun for trespassing on his land	neg	u	Correct	3.093203	1	1	neg	PSY-1514	2019-07-17_10.46.16.882000
