ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
211	Yale	1	white3.bmp	Image	NonBob	d	['d']	correct	1.491108	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
211	Yale	1	white2.bmp	Image	NonBob	d	['d']	correct	0.788499	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
211	Yale	1	white5.bmp	Image	Bob	k	['k']	correct	0.467917	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
211	Yale	1	white5.bmp	Image	Bob	k	['k']	correct	0.459814	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
211	Yale	1	white5.bmp	Image	Bob	k	['k']	correct	0.375243	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
211	Yale	1	white5.bmp	Image	Bob	k	['k']	correct	0.377532	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
211	Yale	1	white5.bmp	Image	Bob	k	['k']	correct	0.489091	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
211	Yale	1	white1.bmp	Image	NonBob	d	['d']	correct	0.474646	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
211	Yale	1	white4.bmp	Image	NonBob	d	['d']	correct	0.415439	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
211	Yale	1	white5.bmp	Image	Bob	k	['k']	correct	0.457508	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
211	Yale	1	white5.bmp	Image	Bob	k	['k']	correct	0.401677	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
211	Yale	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.404297	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
211	Yale	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.394605	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
211	Yale	1	white5.bmp	Image	Bob	k	['k']	correct	0.432737	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
211	Yale	1	white4.bmp	Image	NonBob	d	['d']	correct	0.411607	0.000000	1	1	1	1	DL324-PC-7	2022-04-07_13.58.39.855000
