ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
231	Ghent	Bob	9	8	2	2	1	1	90	1	1	2	user-1f3225316f	2018-02-13_14.39.48.296000
231	Ghent	Bob	1	1	2	1	2	1	10	2	1	2	user-1f3225316f	2018-02-13_14.39.48.296000
