ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
245	Ghent	Bob	9	9	7	7	9	9	80	1	1	2	user-1f3225316f	2018-02-19_09.55.19.406000
245	Ghent	Bob	1	1	1	1	1	1	0	2	1	2	user-1f3225316f	2018-02-19_09.55.19.406000
