ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
235	Ghent	Bob	3	3	3	3	3	3	20	1	2	1	user-1f3225316f	2018-02-14_11.53.32.031000
235	Ghent	Bob	7	7	7	7	7	7	80	2	2	1	user-1f3225316f	2018-02-14_11.53.32.031000
