ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
316	Harvard	Bob	1	1	1	1	1	1	0	1	2	1	Scans-Mac-mini-3.local	2018-02-06_16.43.11.325966
316	Harvard	Bob	9	9	9	8	9	9	95	2	2	1	Scans-Mac-mini-3.local	2018-02-06_16.43.11.325966
