ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
325	Harvard	Hell	white1.bmp	Bob	continually yells at his wife in public	neg	u	Correct	4.956459	1	1	neg	Scans-Mac-mini-2.local	2018-02-13_16.50.13.131096
325	Harvard	Hurt	white1.bmp	Bob	sold a pick-up with a cracked engine to an unsuspecting couple for $400	neg	u	Correct	4.612087	1	1	neg	Scans-Mac-mini-2.local	2018-02-13_16.50.13.131096
325	Harvard	Hell	white1.bmp	Bob	brought marijuana across the state line to sell to middle school students	neg	u	Correct	3.990248	1	1	neg	Scans-Mac-mini-2.local	2018-02-13_16.50.13.131096
325	Harvard	Corpse	white1.bmp	Bob	helped an unemployed neighbor find a new job	pos	c	Correct	2.863245	1	1	pos	Scans-Mac-mini-2.local	2018-02-13_16.50.13.131096
325	Harvard	Pain	white1.bmp	Bob	helped a friend learn how to swim	pos	c	Correct	2.210941	1	1	pos	Scans-Mac-mini-2.local	2018-02-13_16.50.13.131096
325	Harvard	Ugly	white1.bmp	Bob	drove his car down a residential street at 70 mph to impress his girlfriend	neg	u	Correct	3.556952	1	1	neg	Scans-Mac-mini-2.local	2018-02-13_16.50.13.131096
325	Harvard	Death	white1.bmp	Bob	went to the hospital to visit his neighbor	pos	c	Correct	2.323417	1	1	pos	Scans-Mac-mini-2.local	2018-02-13_16.50.13.131096
325	Harvard	Trash	white1.bmp	Bob	helped old people clean up their yards and paint their houses for free	pos	c	Correct	3.366351	1	1	pos	Scans-Mac-mini-2.local	2018-02-13_16.50.13.131096
325	Harvard	Corpse	white1.bmp	Bob	helped in an activity program for handicapped children	pos	c	Correct	3.046839	1	1	pos	Scans-Mac-mini-2.local	2018-02-13_16.50.13.131096
325	Harvard	War	white1.bmp	Bob	helped his wife do the dishes after a large dinner party	pos	c	Correct	2.573202	1	1	pos	Scans-Mac-mini-2.local	2018-02-13_16.50.13.131096
325	Harvard	Trash	white1.bmp	Bob	spent two years as a Vista volunteer to work in the slums of Chicago as a medical aide	pos	c	Correct	4.710508	1	1	pos	Scans-Mac-mini-2.local	2018-02-13_16.50.13.131096
325	Harvard	Spider	white1.bmp	Bob	cut into the front of a gas line	neg	u	Correct	3.721924	1	1	neg	Scans-Mac-mini-2.local	2018-02-13_16.50.13.131096
