ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
343	Harvard	War	white1.bmp	Bob	shot a song bird with his .22-caliber rifle	neg	u	Correct	1.372729	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	War	white1.bmp	Bob	fell asleep at the wheel and crashed into an oncoming car	neg	u	Correct	2.540135	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pain	white1.bmp	Bob	had someone else write a term paper for him	neg	u	Correct	1.549777	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hurt	white1.bmp	Bob	always says good moring with a big grin on his face	pos	c	Correct	1.416601	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hell	white1.bmp	Bob	tries to give someone a ride whenever he is driving a long distance	pos	c	Correct	2.504815	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Death	white1.bmp	Bob	robbed a 7-11 store	neg	u	Correct	1.114792	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Stink	white1.bmp	Bob	helped an unemployed neighbor find a new job	pos	c	Correct	2.468011	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Corpse	white1.bmp	Bob	told a lie about his friend	neg	u	Correct	1.481587	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hell	white1.bmp	Bob	got drunk and insulted everybody at a cocktail party	neg	u	Correct	1.854419	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pain	white1.bmp	Bob	used food coupons that were earmarked for someone else	neg	u	Correct	2.269583	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hurt	white1.bmp	Bob	writes his parents at least once every two weeks	pos	c	Correct	2.003724	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Ugly	white1.bmp	Bob	flew from Dayton to Los Angeles to visit a friend who was blue	pos	c	Correct	1.987177	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Death	white1.bmp	Bob	gave a hitchiker a ride to a shelter	pos	c	Correct	2.662519	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hell	white1.bmp	Bob	became a volunteer basketball coach for a children’s home	pos	c	Correct	1.831537	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Death	white1.bmp	Bob	is a reading specialist who volunteered to teach reading in a free school	pos	c	Correct	2.371068	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Ugly	white1.bmp	Bob	yelled at an eight-year-old boy for riding his bike on the sidewalk	neg	u	Correct	2.323657	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Corpse	white1.bmp	Bob	operated under a false company name and had people pay in advance for a job he never planned to do	neg	u	Correct	2.465059	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Ugly	white1.bmp	Bob	planted tomatoes and cucumbers in a small garden behind his house	pos	c	Correct	2.746242	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hurt	white1.bmp	Bob	wrote letters to his congressperson supporting equal rights for all	pos	c	Correct	3.152594	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Stink	white1.bmp	Bob	gave his friend a bad time by always asking distracting and irrelevant questions	neg	u	Correct	2.287004	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pain	white1.bmp	Bob	saved a child from an oncoming car	pos	c	Correct	1.196662	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hell	white1.bmp	Bob	bought an old guitar and fixed it up for his cousin	pos	c	Correct	1.308381	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	War	white1.bmp	Bob	fought against discriminatory law that made renting difficult for minorities	pos	c	Correct	3.966099	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Spider	white1.bmp	Bob	dented another car in a parking lot and refused to leave his name	neg	u	Correct	2.439559	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Ugly	white1.bmp	Bob	butted into the front of a long line at a movie theater	neg	u	Correct	2.083531	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Death	white1.bmp	Bob	ignored a hit-and-run accident in which a person was thrown from a car	neg	u	Correct	1.856637	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pain	white1.bmp	Bob	gives flowers to his mother	pos	c	Correct	1.437339	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Trash	white1.bmp	Bob	insulted a man who asked for directions to the nearest post office	neg	u	Correct	2.958009	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hurt	white1.bmp	Bob	cut into the front of a gas line	neg	u	Correct	1.524642	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pain	white1.bmp	Bob	spent two years as a Vista volunteer to work in the slums of Chicago as a medical aide	pos	c	Correct	1.762307	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Trash	white1.bmp	Bob	offered to help an elderly lady put up storm windows	pos	c	Correct	2.068509	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Death	white1.bmp	Bob	was apprehended when trying to steal candy from corner grocery store	neg	u	Correct	2.881635	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pain	white1.bmp	Bob	deliberately smoked even though he was in the “no smoking” section of the theatre	neg	u	Correct	1.711372	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Ugly	white1.bmp	Bob	taunted a stranded motorist during a rainstorm	neg	u	Correct	2.433363	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Spider	white1.bmp	Bob	was arrested for selling heroin to a teenager	neg	u	Correct	1.329583	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Spider	white1.bmp	Bob	ignored someone’s cries for help on the ski slope by skiing by too fast to stop	neg	u	Correct	2.639712	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Trash	white1.bmp	Bob	ran over a child's bike with his car	neg	u	Correct	2.436003	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Corpse	white1.bmp	Bob	shot a deer outside of hunting season	neg	u	Correct	2.568003	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Stink	white1.bmp	Bob	scared some small children who were riding their bikes by threatening to run over them	neg	u	Correct	2.719134	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Spider	white1.bmp	Bob	volunteers one day a week to work for the child care center	pos	c	Correct	2.217284	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Stink	white1.bmp	Bob	keeps things down when children are sleeping	pos	c	Correct	2.096154	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Stink	white1.bmp	Bob	cooks a nice dinner for his friends	pos	c	Correct	1.681699	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Corpse	white1.bmp	Bob	makes fun of lesbians on the street	neg	u	Correct	1.639256	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Trash	white1.bmp	Bob	didn’t show up as a material witness for a drug case that involved a friend	neg	u	Correct	2.562895	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Spider	white1.bmp	Bob	walked out of a restaurant without paying the bill	neg	u	Correct	1.737170	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Stink	white1.bmp	Bob	drove to Colorado to visit his parents	pos	c	Correct	1.717159	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Death	white1.bmp	Bob	threatened some people with a gun for trespassing on his land	neg	u	Correct	1.277959	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Trash	white1.bmp	Bob	spent some of his salary on groceries for a disadvantaged family	pos	c	Correct	1.767452	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Death	white1.bmp	Bob	knocked a grocery bag from a woman’s arms as he ran down the street	neg	u	Correct	2.438505	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Ugly	white1.bmp	Bob	helped some neighboring campers set up their tent	pos	c	Correct	2.132030	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Ugly	white1.bmp	Bob	left his campfire burning at night, causing a small forest fire	neg	u	Correct	1.938154	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hurt	white1.bmp	Bob	went to the hospital to visit his neighbor	pos	c	Correct	1.848064	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Ugly	white1.bmp	Bob	gives directions to a driver who is lost	pos	c	Correct	1.128846	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hurt	white1.bmp	Bob	built a stained glass lamp shade for his sister’s wedding present	pos	c	Correct	2.870657	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Spider	white1.bmp	Bob	gave his seat on the bus to an older person	pos	c	Correct	1.546723	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	War	white1.bmp	Bob	broke his friend's guitar because he was angry	neg	u	Correct	3.002523	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hurt	white1.bmp	Bob	ran over a dog while speeding through a residental neighborhood	neg	u	Correct	1.450094	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Trash	white1.bmp	Bob	insisted that he had tickets for a seat at a basketball game, knowing that the seat was really not his	neg	u	Correct	3.978560	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Trash	white1.bmp	Bob	helped in an activity program for handicapped children	pos	c	Correct	3.369284	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hell	white1.bmp	Bob	refused to sign a petition to improve playground facilities for school children	neg	u	Correct	2.500085	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Hell	white1.bmp	Bob	cheated during a poker game	neg	u	Correct	1.105889	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Ugly	white1.bmp	Bob	left a burner on when leaving his house	neg	u	Correct	1.550899	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Spider	white1.bmp	Bob	volunteered to work at the day care center	pos	c	Correct	3.971121	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Corpse	white1.bmp	Bob	helped a friend repaint his apartment	pos	c	Correct	1.166361	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Spider	white1.bmp	Bob	gave $20 to the United Appeal	pos	c	Correct	1.253528	1	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pain	white1.bmp	Bob	flunked out of college after one term	neg	u	Correct	1.113948	1	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Kitten	white1.bmp	Bob	typed a manuscript for a friend	pos	c	False	1.380825	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Kiss	white1.bmp	Bob	repaired a child's bicycle over the weekend	pos	u	Correct	3.204490	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pretty	white1.bmp	Bob	was arrested on the charge of passing over $500 in bad checks	neg	c	Correct	2.388666	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Gift	white1.bmp	Bob	helps his neighbors with yardwork	pos	u	Correct	1.791858	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Friend	white1.bmp	Bob	helped friends move into a new house	pos	u	Correct	2.555544	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Flower	white1.bmp	Bob	overcharged customers who bought gas at a filling station	neg	c	Correct	2.342145	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Gift	white1.bmp	Bob	slapped his child for spilling a glass of milk	neg	c	Correct	2.340914	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Puppy	white1.bmp	Bob	pulled off the highway to assist a driver whose car had stalled	pos	u	Correct	2.731243	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Friend	white1.bmp	Bob	pretended he did not hear a woman’s request for his help in lifting a baby carriage over a high curb	neg	c	Correct	2.321924	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Gift	white1.bmp	Bob	became very angry and threatened two children who were collecting insects near his home	neg	c	Correct	4.452034	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Friend	white1.bmp	Bob	let an old couple ride free on the bus he was driving because they didn’t have enough money for two fares	pos	u	Correct	3.824928	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Kitten	white1.bmp	Bob	refused to help his child fix his bike	neg	c	Correct	2.009139	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Kitten	white1.bmp	Bob	bought plane tickets for his parents on their 25th anniversary for a trip to Hawaii	pos	u	Correct	2.337375	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Happy	white1.bmp	Bob	yelled at his wife viciously after an argument about family income	neg	c	Correct	1.288060	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Happy	white1.bmp	Bob	sells vacuum cleaners door-to-door for three times the department store price	neg	c	Correct	2.317672	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Happy	white1.bmp	Bob	told a woman that she had dropped her wallet	pos	u	Correct	3.379520	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Kiss	white1.bmp	Bob	stood on a street corner and insulted the people who walked by	neg	c	Correct	1.782973	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Smile	white1.bmp	Bob	stopped to assist a motorist whose car had stalled during a snow storm	pos	u	Correct	2.262334	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Gift	white1.bmp	Bob	shut a neighbor’s door when they accidentally left it open	pos	u	Correct	2.311377	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
