ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
309	Harvard	Bob	9	9	9	8	9	9	80	1	1	2	Scans-Mac-mini-3.local	2018-02-05_16.55.03.307939
309	Harvard	Bob	1	1	1	2	1	1	0	2	1	2	Scans-Mac-mini-3.local	2018-02-05_16.55.03.307939
