ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
334	Harvard	Bob	1	1	1	1	1	1	0	1	2	2	Scans-Mac-mini-2.local	2018-02-19_17.12.46.380155
334	Harvard	Bob	9	9	9	9	9	9	100	2	2	2	Scans-Mac-mini-2.local	2018-02-19_17.12.46.380155
