ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
45	Ghent	Bob	2	2	2	2	2	2	5	1	2	2	user-1f3225316f	2019-03-20_15.01.58.359000
45	Ghent	Bob	8	8	2	2	2	2	95	2	2	2	user-1f3225316f	2019-03-20_15.01.58.359000
