ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
26	Ghent	Bob	1	1	1	1	1	1	0	1	2	1	user-1f3225316f	2019-03-11_17.04.55.687000
26	Ghent	Bob	9	8	8	7	9	9	90	2	2	1	user-1f3225316f	2019-03-11_17.04.55.687000
