ParticipantNumber	Location	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
38	Ghent	Bob	9	9	8	7	9	8	80	1	1	2	user-1f3225316f	2019-03-19_11.51.38.625000
38	Ghent	Bob	3	2	1	1	2	1	10	2	1	2	user-1f3225316f	2019-03-19_11.51.38.625000
