ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
162	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	1.247241	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	0.653818	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.684198	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white1.bmp	Image	NonBob	d	['d']	correct	1.083321	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white2.bmp	Image	NonBob	d	['d']	correct	0.628500	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	0.523377	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white1.bmp	Image	NonBob	d	['d']	correct	0.595414	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.488708	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	0.441334	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	0.430656	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	0.332412	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white2.bmp	Image	NonBob	d	['d']	correct	0.476947	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	0.473996	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white3.bmp	Image	NonBob	d	['d']	correct	0.510586	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	0.717088	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	0.323080	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white5.bmp	Image	NonBob	d	['d']	correct	0.459141	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white3.bmp	Image	NonBob	d	['k']	error	0.413754	1.461767	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white5.bmp	Image	NonBob	d	['d']	correct	1.008968	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	1	white4.bmp	Image	Bob	k	['k']	correct	0.519293	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	NASTY	Text	neg	d	['d']	correct	1.547282	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	ROTTEN	Text	neg	d	['d']	correct	0.610905	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	SUPERB	Text	pos	k	['k']	correct	0.707735	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	LIKEABLE	Text	pos	k	['k']	correct	1.088754	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	WONDERFUL	Text	pos	k	['k']	correct	0.769273	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	GREAT	Text	pos	k	['k']	correct	0.546760	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	DREADFUL	Text	neg	d	['d']	correct	0.446121	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	FAVORABLE	Text	pos	k	['k']	correct	0.502052	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	DISGUSTING	Text	neg	d	['d']	correct	0.443859	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	MARVELOUS	Text	pos	k	['d']	error	0.506205	1.178215	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	OFFENSIVE	Text	neg	d	['d']	correct	0.719170	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	TERRIBLE	Text	neg	d	['d']	correct	0.636691	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	FABULOUS	Text	pos	k	['k']	correct	0.529172	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	EXCELLENT	Text	pos	k	['d']	error	0.464721	0.816753	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	DELIGHTFUL	Text	pos	k	['k']	correct	1.562248	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	REPULSIVE	Text	neg	d	['d']	correct	2.210360	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	MAGNIFICENT	Text	pos	k	['k']	correct	0.753605	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	APPALLING	Text	neg	d	['d']	correct	2.391333	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	INFERIOR	Text	neg	d	['d']	correct	0.841807	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	2	AWFUL	Text	neg	d	['d']	correct	0.534380	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	34	SUPERB	Text	pos	k	['k']	correct	2.317706	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	34	GREAT	Text	pos	k	['k']	correct	1.322903	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	34	white4.bmp	Image	Bob	k	['k']	correct	0.531652	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	34	bob1.bmp	Image	NonBob	d	['d']	correct	0.760899	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	34	DREADFUL	Text	neg	d	['d']	correct	0.465549	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	34	white4.bmp	Image	Bob	k	['k']	correct	0.588724	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	34	white5.bmp	Image	NonBob	d	['d']	correct	0.482485	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
162	Florida	34	white4.bmp	Image	Bob	k	['k']	correct	0.465530	0.000000	1	2	2	2	PSY-1514	2021-11-04_14.45.13.921000
